Vardas             Pavarde                 ND1       ND2       ND3       ND4       ND5 Egzaminas
Vardas1             Pavarde1          7          8          4          2          4
Vardas2             Pavarde2          6          9          2          1          6
Vardas3             Pavarde3          10          4          4          1          6
Vardas4             Pavarde4          9          6          5          9          2
Vardas5             Pavarde5          1          4          9          1          7
Vardas6             Pavarde6          7          7          7          1          7
Vardas7             Pavarde7          5          9          6          1          3
Vardas8             Pavarde8          8          4          10          1          3
Vardas9             Pavarde9          7          8          3          8          5
Vardas10             Pavarde10          4          2          3          5          4
Vardas11             Pavarde11          1          8          5          4          9
Vardas12             Pavarde12          7          6          2          1          4
Vardas13             Pavarde13          4          10          2          10          7
Vardas14             Pavarde14          4          7          10          5          5
Vardas15             Pavarde15          8          5          10          1          4
Vardas16             Pavarde16          3          10          3          8          7
Vardas17             Pavarde17          9          4          2          2          2
Vardas18             Pavarde18          9          1          8          9          5
Vardas19             Pavarde19          3          10          4          2          1
Vardas20             Pavarde20          8          6          6          5          1
Vardas21             Pavarde21          2          8          7          4          3
Vardas22             Pavarde22          7          1          4          8          7
Vardas23             Pavarde23          10          4          1          1          4
Vardas24             Pavarde24          3          10          6          2          10
Vardas25             Pavarde25          2          3          7          4          1
Vardas26             Pavarde26          2          9          10          2          5
Vardas27             Pavarde27          6          7          2          4          10
Vardas28             Pavarde28          6          4          1          7          5
Vardas29             Pavarde29          1          8          7          2          6
Vardas30             Pavarde30          3          6          7          6          8
Vardas31             Pavarde31          2          5          7          1          5
Vardas32             Pavarde32          6          8          2          9          5
Vardas33             Pavarde33          8          8          6          10          7
Vardas34             Pavarde34          4          8          8          5          3
Vardas35             Pavarde35          4          8          1          6          9
Vardas36             Pavarde36          8          4          10          8          1
Vardas37             Pavarde37          5          8          3          5          7
Vardas38             Pavarde38          9          6          7          9          3
Vardas39             Pavarde39          7          6          7          7          2
Vardas40             Pavarde40          2          2          8          9          3
Vardas41             Pavarde41          3          4          8          6          2
Vardas42             Pavarde42          3          9          10          3          2
Vardas43             Pavarde43          1          2          2          9          1
Vardas44             Pavarde44          3          7          8          9          7
Vardas45             Pavarde45          5          2          6          4          10
Vardas46             Pavarde46          4          3          7          10          9
Vardas47             Pavarde47          8          9          3          9          10
Vardas48             Pavarde48          5          6          3          3          6
Vardas49             Pavarde49          2          4          9          7          7
Vardas50             Pavarde50          10          7          9          9          3
Vardas51             Pavarde51          4          8          10          9          3
Vardas52             Pavarde52          4          10          8          6          4
Vardas53             Pavarde53          4          8          3          8          1
Vardas54             Pavarde54          8          5          3          9          9
Vardas55             Pavarde55          9          10          7          3          5
Vardas56             Pavarde56          9          10          2          3          2
Vardas57             Pavarde57          2          6          4          10          4
Vardas58             Pavarde58          7          8          9          10          7
Vardas59             Pavarde59          2          3          4          5          9
Vardas60             Pavarde60          4          3          6          7          4
Vardas61             Pavarde61          10          7          6          4          9
Vardas62             Pavarde62          1          9          4          8          2
Vardas63             Pavarde63          3          2          10          6          3
Vardas64             Pavarde64          2          8          8          1          7
Vardas65             Pavarde65          5          8          6          3          4
Vardas66             Pavarde66          5          5          1          4          8
Vardas67             Pavarde67          7          2          4          2          5
Vardas68             Pavarde68          3          8          10          10          6
Vardas69             Pavarde69          9          6          4          5          2
Vardas70             Pavarde70          8          6          2          1          6
Vardas71             Pavarde71          4          2          3          5          8
Vardas72             Pavarde72          5          1          9          4          3
Vardas73             Pavarde73          8          6          4          8          9
Vardas74             Pavarde74          1          2          4          2          10
Vardas75             Pavarde75          5          4          8          8          5
Vardas76             Pavarde76          7          9          10          6          8
Vardas77             Pavarde77          9          8          4          8          3
Vardas78             Pavarde78          5          8          3          10          7
Vardas79             Pavarde79          9          3          10          2          5
Vardas80             Pavarde80          8          2          8          7          2
Vardas81             Pavarde81          8          2          1          4          2
Vardas82             Pavarde82          3          3          8          5          8
Vardas83             Pavarde83          6          8          5          3          7
Vardas84             Pavarde84          6          5          5          5          8
Vardas85             Pavarde85          10          6          10          10          2
Vardas86             Pavarde86          3          6          8          2          1
Vardas87             Pavarde87          4          2          2          1          7
Vardas88             Pavarde88          4          1          6          7          9
Vardas89             Pavarde89          6          9          6          1          3
Vardas90             Pavarde90          7          7          9          1          9
Vardas91             Pavarde91          6          5          6          1          8
Vardas92             Pavarde92          9          10          3          1          4
Vardas93             Pavarde93          2          6          3          4          2
Vardas94             Pavarde94          4          7          5          6          8
Vardas95             Pavarde95          10          2          5          7          5
Vardas96             Pavarde96          5          8          6          6          7
Vardas97             Pavarde97          10          2          10          2          5
Vardas98             Pavarde98          9          8          4          1          6
Vardas99             Pavarde99          2          9          4          3          6
Vardas100             Pavarde100          7          2          9          2          7
Vardas101             Pavarde101          8          7          6          3          10
Vardas102             Pavarde102          2          2          7          3          4
Vardas103             Pavarde103          9          3          8          10          9
Vardas104             Pavarde104          10          8          8          10          8
Vardas105             Pavarde105          7          9          4          8          3
Vardas106             Pavarde106          10          5          10          5          2
Vardas107             Pavarde107          3          1          3          1          10
Vardas108             Pavarde108          7          6          3          7          3
Vardas109             Pavarde109          9          6          10          7          7
Vardas110             Pavarde110          4          3          1          8          7
Vardas111             Pavarde111          5          6          3          4          9
Vardas112             Pavarde112          6          8          2          2          8
Vardas113             Pavarde113          1          9          1          1          10
Vardas114             Pavarde114          7          2          5          3          4
Vardas115             Pavarde115          2          3          2          7          5
Vardas116             Pavarde116          7          4          6          5          3
Vardas117             Pavarde117          7          1          9          10          10
Vardas118             Pavarde118          2          7          5          7          1
Vardas119             Pavarde119          8          5          2          1          1
Vardas120             Pavarde120          8          10          6          4          7
Vardas121             Pavarde121          5          2          2          9          3
Vardas122             Pavarde122          3          4          8          6          10
Vardas123             Pavarde123          3          6          4          9          9
Vardas124             Pavarde124          10          7          9          8          1
Vardas125             Pavarde125          3          10          2          4          9
Vardas126             Pavarde126          2          10          9          9          2
Vardas127             Pavarde127          10          2          10          3          8
Vardas128             Pavarde128          2          2          2          3          7
Vardas129             Pavarde129          5          4          1          6          1
Vardas130             Pavarde130          10          4          5          5          8
Vardas131             Pavarde131          9          3          10          8          3
Vardas132             Pavarde132          1          1          6          1          9
Vardas133             Pavarde133          8          7          5          1          8
Vardas134             Pavarde134          9          1          6          2          6
Vardas135             Pavarde135          2          8          1          9          3
Vardas136             Pavarde136          4          10          3          6          3
Vardas137             Pavarde137          6          2          10          1          9
Vardas138             Pavarde138          5          9          6          2          9
Vardas139             Pavarde139          7          5          3          1          8
Vardas140             Pavarde140          1          6          6          9          9
Vardas141             Pavarde141          7          7          10          1          6
Vardas142             Pavarde142          8          6          10          5          10
Vardas143             Pavarde143          2          8          10          7          4
Vardas144             Pavarde144          6          8          9          6          8
Vardas145             Pavarde145          5          3          4          1          9
Vardas146             Pavarde146          1          6          4          2          3
Vardas147             Pavarde147          2          8          9          8          1
Vardas148             Pavarde148          4          5          1          8          1
Vardas149             Pavarde149          8          5          3          4          8
Vardas150             Pavarde150          1          3          9          5          8
Vardas151             Pavarde151          2          4          4          10          3
Vardas152             Pavarde152          10          10          8          2          7
Vardas153             Pavarde153          10          5          9          10          5
Vardas154             Pavarde154          3          5          8          4          2
Vardas155             Pavarde155          8          3          1          7          2
Vardas156             Pavarde156          7          2          6          2          9
Vardas157             Pavarde157          2          1          7          5          9
Vardas158             Pavarde158          2          7          10          10          4
Vardas159             Pavarde159          2          1          8          9          6
Vardas160             Pavarde160          8          9          4          6          6
Vardas161             Pavarde161          3          10          8          4          9
Vardas162             Pavarde162          3          7          1          3          3
Vardas163             Pavarde163          3          2          2          8          8
Vardas164             Pavarde164          4          1          8          6          9
Vardas165             Pavarde165          6          6          3          3          7
Vardas166             Pavarde166          9          6          8          9          6
Vardas167             Pavarde167          8          4          2          1          3
Vardas168             Pavarde168          3          5          10          2          1
Vardas169             Pavarde169          8          1          5          6          10
Vardas170             Pavarde170          8          9          2          8          3
Vardas171             Pavarde171          4          1          6          3          8
Vardas172             Pavarde172          2          1          8          4          9
Vardas173             Pavarde173          9          7          3          8          10
Vardas174             Pavarde174          1          5          4          7          7
Vardas175             Pavarde175          6          3          7          4          4
Vardas176             Pavarde176          7          6          8          7          7
Vardas177             Pavarde177          7          1          9          3          9
Vardas178             Pavarde178          5          6          8          10          5
Vardas179             Pavarde179          10          6          4          1          4
